Model,MAE,MSE,R2
LinearRegression,80879.09723489822,10089009300.894522,0.9179971706834288
RobustRegression,200714.83530019614,62803061981.46845,0.4895406854498805
RidgeRegression,80882.08068490674,10089716572.554762,0.9179914220241199
LassoRegression,80879.1594263438,10089021397.171637,0.9179970723656538
ElasticNet,100124.30560527804,15561491345.783438,0.8735171828391082
PolynomialRegression,80886.67208241788,10099268150.572706,0.9179137874022706
SGDRegressor,7.105054964465457e+17,5.152443006702666e+35,-4.18787307892102e+24
ANN,200525.08329745982,62707712855.69736,0.4903156771118862
RandomForest,95209.78377396548,14556791525.309326,0.881683319417595
SVM,279212.7242489848,123219501896.69862,-0.001520315935481742
LGBM,87681.38040878708,12313469588.940966,0.8999168981926512
XGBoost,96076.29387955746,14912750470.898375,0.8787901076275872
KNN,203987.4662913469,63314173406.63843,0.48538640412155953
